,State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent,Total_Spent_Per_District,Percent_Spent,STATEFP20
91,CA,30,Brad Sherman,D,True,1,69.5,1513374.0,1111826.0,1111826.0,100.0,06
92,CA,31,Pete Aguilar,D,True,1,61.3,2475748.0,1861434.0,1989341.0,93.57038335810704,06
93,CA,31,Agnes Gibboney,R,False,0,38.7,138687.0,127907.0,1989341.0,6.429616641892968,06
94,CA,32,Grace Napolitano,D,True,1,66.6,478426.0,251047.0,265295.0,94.62937484686859,06
95,CA,32,Joshua Scott,R,False,0,33.4,23624.0,14248.0,265295.0,5.37062515313142,06
96,CA,33,Ted Lieu,D,True,1,67.6,1661436.0,1582573.0,1661608.0,95.24346295877247,06
97,CA,33,James Bradley,R,False,0,32.4,78910.0,79035.0,1661608.0,4.756537041227534,06
98,CA,34,Jimmy Gomez,D,True,1,53.0,1401166.0,1268312.0,1348693.0,94.04008176805247,06
99,CA,34,David Kim,D,False,0,47.0,193430.0,80381.0,1348693.0,5.959918231947523,06
100,CA,35,Norma Torres,D,True,1,69.3,654727.0,664600.0,700515.0,94.8730576789933,06
101,CA,35,Mike Cargile,R,False,0,30.7,36113.0,35915.0,700515.0,5.1269423210066885,06
102,CA,36,Raul Ruiz,D,True,1,60.3,2402624.0,1732443.0,1786283.0,96.98591992422253,06
103,CA,36,Erin Cruz,R,False,0,39.7,54217.0,53840.0,1786283.0,3.0140800757774664,06
104,CA,37,Karen Bass,D,True,1,85.9,2216467.0,1202942.0,1377018.0,87.35848042654489,06
105,CA,37,Errol Webber,R,False,0,14.1,66398.0,174076.0,1377018.0,12.641519573455104,06
106,CA,38,Linda Sanchez,D,True,1,74.3,1246008.0,1140165.0,1140165.0,100.0,06
107,CA,39,Gil Cisneros,D,True,0,49.4,4370133.0,4350464.0,10372115.0,41.943846553957414,06
108,CA,39,Young Kim,R,False,1,50.6,6424556.0,6021651.0,10372115.0,58.05615344604259,06
109,CA,40,Lucille Roybal-Allard,D,True,1,72.7,739790.0,741379.0,820649.0,90.34057191320528,06
110,CA,40,Antonio Delgado,R,False,0,27.3,85014.0,79270.0,820649.0,9.65942808679472,06
111,CA,41,Mark Takano,D,True,1,64.0,1020456.0,949494.0,1609403.0,58.996659009583055,06
112,CA,41,Aja Smith,R,False,0,36.0,660658.0,659909.0,1609403.0,41.003340990416945,06
113,CA,42,Ken Calvert,R,True,1,57.1,1441812.0,1549113.0,1677895.0,92.32478790389148,06
114,CA,42,Liam O'Mara,D,False,0,42.9,130065.0,128782.0,1677895.0,7.675212096108516,06
115,CA,43,Maxine Waters,D,True,1,71.7,1836660.0,1906957.0,11828060.0,16.12231422566338,06
116,CA,43,Joe Collins,R,False,0,28.3,10556626.0,9921103.0,11828060.0,83.87768577433661,06
117,CA,44,Nanette Barragan,D,True,1,67.8,1173909.0,714023.0,714023.0,100.0,06
118,CA,45,Katie Porter,D,True,1,53.5,16627706.0,6443700.0,7685413.0,83.84324954299788,06
119,CA,45,Greg Raths,R,False,0,46.5,1245767.0,1241713.0,7685413.0,16.156750457002115,06
120,CA,46,Lou Correa,D,True,1,68.8,1192715.0,650707.0,650707.0,100.0,06
121,CA,47,Alan Lowenthal,D,True,1,63.3,678648.0,854902.0,876440.0,97.54255853224409,06
122,CA,47,John Briscoe,R,False,0,36.7,25302.0,21538.0,876440.0,2.4574414677559218,06
123,CA,48,Harley Rouda,D,True,0,48.9,5968858.0,6174443.0,12323034.0,50.104892999564875,06
124,CA,48,Michelle Steel,R,False,1,51.1,6305665.0,6148591.0,12323034.0,49.89510700043512,06
125,CA,49,Mike Levin,D,True,1,53.1,3845768.0,2901566.0,5709783.0,50.81744787849205,06
126,CA,49,Brian Maryott,R,False,0,46.9,2810253.0,2808217.0,5709783.0,49.182552121507946,06
127,CA,50,Darrell Issa,R,False,1,54.0,11239670.0,10947106.0,17194868.0,63.66496096393413,06
128,CA,50,Ammar Campa-Najjar,D,False,0,46.0,6248210.0,6247762.0,17194868.0,36.33503903606587,06
129,CA,51,Juan Vargas,D,True,1,68.3,799734.0,801671.0,882853.0,90.80458468170805,06
130,CA,51,Juan Hidalgo,R,False,0,31.7,83730.0,81182.0,882853.0,9.195415318291946,06
131,CA,52,Scott Peters,D,True,1,61.6,1911791.0,2131849.0,2356479.0,90.46755774186826,06
132,CA,52,James Debello,R,False,0,38.4,233464.0,224630.0,2356479.0,9.532442258131729,06
133,CA,53,Sara Jacobs,D,False,1,59.5,7678363.0,7586186.0,9249438.0,82.017804757435,06
134,CA,53,Georgette Gomez,D,False,0,40.5,1691794.0,1663252.0,9249438.0,17.98219524256501,06
135,CO,1,Diana DeGette,D,True,1,73.7,1201026.0,1077130.0,1077130.0,100.0,08
136,CO,2,Joseph Neguse,D,True,1,61.5,1353325.0,674602.0,772940.0,87.277408336999,08
137,CO,2,Charles Winn,R,False,0,35.4,98338.0,98338.0,772940.0,12.72259166300101,08
138,CO,3,Diane Mitsch Bush,D,False,0,45.2,5008274.0,4984238.0,7616954.0,65.4361047736405,08
139,CO,3,Lauren Boebert,R,False,1,51.4,2989510.0,2632716.0,7616954.0,34.56389522635951,08
140,CO,4,Ken Buck,R,True,1,60.1,478984.0,539393.0,756791.0,71.27370700761504,08
